cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13
Eating ( 0.29 ),Shopping ( 0.89 ),SocialServices ( 0.8 ),Residence ( 0.55 ),Entertainment ( 0 ),Recreation ( 0.66 ),Eating ( 1 ),Education ( 1 ),Traveling ( 0.75 ),Entertainment ( NaN ),Entertainment ( NaN ),Entertainment ( NaN ),Entertainment ( NaN )
NightLife ( 0.15 ),SocialServices ( 0.11 ),Education ( 0.15 ),Eating ( 0.24 ),Education ( 0 ),Eating ( 0.2 ),Entertainment ( 0 ),Entertainment ( 0 ),Eating ( 0.17 ),Education ( NaN ),Education ( NaN ),Education ( NaN ),Education ( NaN )
Traveling ( 0.11 ),Entertainment ( 0 ),Shopping ( 0.05 ),Recreation ( 0.12 ),NightLife ( 0 ),Traveling ( 0.06 ),Education ( 0 ),NightLife ( 0 ),Entertainment ( 0.06 ),NightLife ( NaN ),NightLife ( NaN ),NightLife ( NaN ),NightLife ( NaN )
Recreation ( 0.11 ),Education ( 0 ),Entertainment ( 0 ),Education ( 0.04 ),Recreation ( 0 ),Residence ( 0.03 ),NightLife ( 0 ),Recreation ( 0 ),Education ( 0.03 ),Recreation ( NaN ),Recreation ( NaN ),Recreation ( NaN ),Recreation ( NaN )
Shopping ( 0.1 ),NightLife ( 0 ),NightLife ( 0 ),Shopping ( 0.02 ),SocialServices ( 0 ),NightLife ( 0.03 ),Recreation ( 0 ),SocialServices ( 0 ),NightLife ( 0 ),SocialServices ( NaN ),SocialServices ( NaN ),SocialServices ( NaN ),SocialServices ( NaN )
Entertainment ( 0.08 ),Recreation ( 0 ),Recreation ( 0 ),Traveling ( 0.02 ),Residence ( 0 ),Entertainment ( 0.02 ),SocialServices ( 0 ),Residence ( 0 ),Recreation ( 0 ),Residence ( NaN ),Residence ( NaN ),Residence ( NaN ),Residence ( NaN )
Residence ( 0.07 ),Residence ( 0 ),Residence ( 0 ),SocialServices ( 0.02 ),Shopping ( 0 ),Shopping ( 0.01 ),Residence ( 0 ),Shopping ( 0 ),SocialServices ( 0 ),Shopping ( NaN ),Shopping ( NaN ),Shopping ( NaN ),Shopping ( NaN )
Education ( 0.05 ),Traveling ( 0 ),Traveling ( 0 ),NightLife ( 0 ),Traveling ( 0 ),SocialServices ( 0 ),Shopping ( 0 ),Traveling ( 0 ),Residence ( 0 ),Traveling ( NaN ),Traveling ( NaN ),Traveling ( NaN ),Traveling ( NaN )
SocialServices ( 0.05 ),Eating ( 0 ),Eating ( 0 ),Entertainment ( 0 ),Eating ( 0 ),Education ( 0 ),Traveling ( 0 ),Eating ( 0 ),Shopping ( 0 ),Eating ( NaN ),Eating ( NaN ),Eating ( NaN ),Eating ( NaN )
