cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13
Eating ( 0.28 ),Recreation ( 0.54 ),SocialServices ( 0.54 ),Traveling ( 0.35 ),Recreation ( 1 ),Residence ( 0.66 ),Shopping ( 1 ),SocialServices ( 1 ),Education ( 0.76 ),Entertainment ( 0 ),NightLife ( 0.68 ),Eating ( 1 ),Entertainment ( NaN )
Recreation ( 0.2 ),Shopping ( 0.08 ),Eating ( 0.39 ),Eating ( 0.19 ),Entertainment ( 0 ),Traveling ( 0.21 ),Entertainment ( 0 ),Entertainment ( 0 ),Eating ( 0.24 ),Education ( 0 ),Eating ( 0.26 ),Entertainment ( 0 ),Education ( NaN )
SocialServices ( 0.11 ),Eating ( 0.08 ),Recreation ( 0.03 ),Recreation ( 0.12 ),Education ( 0 ),Eating ( 0.11 ),Education ( 0 ),Education ( 0 ),Entertainment ( 0 ),NightLife ( 0 ),Education ( 0.05 ),Education ( 0 ),NightLife ( NaN )
Traveling ( 0.1 ),Traveling ( 0.07 ),Shopping ( 0.02 ),SocialServices ( 0.09 ),NightLife ( 0 ),NightLife ( 0.01 ),NightLife ( 0 ),NightLife ( 0 ),NightLife ( 0 ),Recreation ( 0 ),Entertainment ( 0 ),NightLife ( 0 ),Recreation ( NaN )
Shopping ( 0.1 ),Residence ( 0.07 ),Residence ( 0.02 ),Entertainment ( 0.09 ),SocialServices ( 0 ),Recreation ( 0.01 ),Recreation ( 0 ),Recreation ( 0 ),Recreation ( 0 ),SocialServices ( 0 ),Recreation ( 0 ),Recreation ( 0 ),SocialServices ( NaN )
Residence ( 0.09 ),Education ( 0.06 ),Education ( 0 ),Education ( 0.05 ),Residence ( 0 ),Shopping ( 0.01 ),SocialServices ( 0 ),Residence ( 0 ),SocialServices ( 0 ),Residence ( 0 ),SocialServices ( 0 ),SocialServices ( 0 ),Residence ( NaN )
NightLife ( 0.04 ),SocialServices ( 0.05 ),Traveling ( 0 ),Shopping ( 0.05 ),Shopping ( 0 ),Entertainment ( 0 ),Residence ( 0 ),Shopping ( 0 ),Residence ( 0 ),Shopping ( 0 ),Residence ( 0 ),Residence ( 0 ),Shopping ( NaN )
Entertainment ( 0.04 ),Entertainment ( 0.04 ),Entertainment ( 0 ),Residence ( 0.04 ),Traveling ( 0 ),Education ( 0 ),Traveling ( 0 ),Traveling ( 0 ),Shopping ( 0 ),Traveling ( 0 ),Shopping ( 0 ),Shopping ( 0 ),Traveling ( NaN )
Education ( 0.04 ),NightLife ( 0 ),NightLife ( 0 ),NightLife ( 0.02 ),Eating ( 0 ),SocialServices ( 0 ),Eating ( 0 ),Eating ( 0 ),Traveling ( 0 ),Eating ( 0 ),Traveling ( 0 ),Traveling ( 0 ),Eating ( NaN )
