cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13
SocialServices ( 0.37 ),Education ( 0.33 ),Eating ( 0.33 ),Traveling ( 0.51 ),Recreation ( 0.4 ),Eating ( 0.95 ),Shopping ( 0.85 ),Entertainment ( 0 ),SocialServices ( 0.77 ),SocialServices ( 0.62 ),Recreation ( 0.75 ),SocialServices ( 0.99 ),Entertainment ( NaN )
Eating ( 0.19 ),Eating ( 0.23 ),Shopping ( 0.19 ),Residence ( 0.14 ),Eating ( 0.22 ),SocialServices ( 0.04 ),SocialServices ( 0.15 ),Education ( 0 ),Eating ( 0.16 ),Recreation ( 0.38 ),Residence ( 0.08 ),Shopping ( 0.01 ),Education ( NaN )
Recreation ( 0.1 ),SocialServices ( 0.11 ),SocialServices ( 0.15 ),Eating ( 0.09 ),Residence ( 0.08 ),Traveling ( 0.02 ),Entertainment ( 0 ),NightLife ( 0 ),Education ( 0.03 ),Entertainment ( 0 ),Traveling ( 0.05 ),Entertainment ( 0 ),NightLife ( NaN )
Shopping ( 0.1 ),Recreation ( 0.1 ),Recreation ( 0.11 ),Recreation ( 0.08 ),Entertainment ( 0.08 ),Entertainment ( 0 ),Education ( 0 ),Recreation ( 0 ),Traveling ( 0.02 ),Education ( 0 ),Eating ( 0.04 ),Education ( 0 ),Recreation ( NaN )
Traveling ( 0.09 ),Traveling ( 0.08 ),Traveling ( 0.1 ),Shopping ( 0.07 ),Shopping ( 0.07 ),Education ( 0 ),NightLife ( 0 ),SocialServices ( 0 ),Entertainment ( 0.01 ),NightLife ( 0 ),Education ( 0.03 ),NightLife ( 0 ),SocialServices ( NaN )
Education ( 0.07 ),Shopping ( 0.06 ),Residence ( 0.04 ),SocialServices ( 0.06 ),Traveling ( 0.06 ),NightLife ( 0 ),Recreation ( 0 ),Residence ( 0 ),Shopping ( 0.01 ),Residence ( 0 ),Entertainment ( 0.03 ),Recreation ( 0 ),Residence ( NaN )
Entertainment ( 0.04 ),Residence ( 0.05 ),Education ( 0.04 ),Entertainment ( 0.04 ),SocialServices ( 0.05 ),Recreation ( 0 ),Residence ( 0 ),Shopping ( 0 ),Recreation ( 0 ),Shopping ( 0 ),Shopping ( 0.02 ),Residence ( 0 ),Shopping ( NaN )
Residence ( 0.03 ),Entertainment ( 0.03 ),NightLife ( 0.03 ),Education ( 0 ),Education ( 0.04 ),Residence ( 0 ),Traveling ( 0 ),Traveling ( 0 ),NightLife ( 0 ),Traveling ( 0 ),SocialServices ( 0 ),Traveling ( 0 ),Traveling ( NaN )
NightLife ( 0.01 ),NightLife ( 0.01 ),Entertainment ( 0.02 ),NightLife ( 0 ),NightLife ( 0.01 ),Shopping ( 0 ),Eating ( 0 ),Eating ( 0 ),Residence ( 0 ),Eating ( 0 ),NightLife ( 0 ),Eating ( 0 ),Eating ( NaN )
