cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13
Eating ( 0.32 ),SocialServices ( 0.91 ),Recreation ( 0.42 ),SocialServices ( 0.44 ),Education ( 0.34 ),Traveling ( 0.42 ),Eating ( 0.6 ),Shopping ( 0.55 ),Eating ( 1 ),Entertainment ( 0 ),Shopping ( 0.94 ),Education ( 1 ),Entertainment ( NaN )
Shopping ( 0.18 ),Eating ( 0.04 ),Eating ( 0.21 ),Eating ( 0.4 ),Eating ( 0.19 ),Entertainment ( 0.15 ),Recreation ( 0.1 ),SocialServices ( 0.37 ),Entertainment ( 0 ),Education ( 0 ),SocialServices ( 0.06 ),Entertainment ( 0 ),Education ( NaN )
SocialServices ( 0.12 ),Education ( 0.02 ),Education ( 0.09 ),Shopping ( 0.14 ),Residence ( 0.13 ),Shopping ( 0.13 ),Shopping ( 0.08 ),Eating ( 0.05 ),Education ( 0 ),NightLife ( 0 ),Entertainment ( 0 ),NightLife ( 0 ),NightLife ( NaN )
Recreation ( 0.12 ),Recreation ( 0.02 ),Shopping ( 0.08 ),Entertainment ( 0.02 ),Shopping ( 0.12 ),Eating ( 0.12 ),Entertainment ( 0.07 ),Education ( 0.04 ),NightLife ( 0 ),Recreation ( 0 ),Education ( 0 ),Recreation ( 0 ),Recreation ( NaN )
Traveling ( 0.08 ),Shopping ( 0.01 ),Traveling ( 0.06 ),Education ( 0 ),Recreation ( 0.1 ),SocialServices ( 0.09 ),SocialServices ( 0.06 ),Entertainment ( 0 ),Recreation ( 0 ),SocialServices ( 0 ),NightLife ( 0 ),SocialServices ( 0 ),SocialServices ( NaN )
Education ( 0.05 ),Entertainment ( 0 ),SocialServices ( 0.04 ),NightLife ( 0 ),Traveling ( 0.06 ),Education ( 0.05 ),Traveling ( 0.05 ),NightLife ( 0 ),SocialServices ( 0 ),Residence ( 0 ),Recreation ( 0 ),Residence ( 0 ),Residence ( NaN )
Entertainment ( 0.05 ),NightLife ( 0 ),Entertainment ( 0.04 ),Recreation ( 0 ),SocialServices ( 0.04 ),Recreation ( 0.03 ),NightLife ( 0.03 ),Recreation ( 0 ),Residence ( 0 ),Shopping ( 0 ),Residence ( 0 ),Shopping ( 0 ),Shopping ( NaN )
NightLife ( 0.04 ),Residence ( 0 ),Residence ( 0.04 ),Residence ( 0 ),Entertainment ( 0.02 ),NightLife ( 0.01 ),Education ( 0.02 ),Residence ( 0 ),Shopping ( 0 ),Traveling ( 0 ),Traveling ( 0 ),Traveling ( 0 ),Traveling ( NaN )
Residence ( 0.04 ),Traveling ( 0 ),NightLife ( 0.02 ),Traveling ( 0 ),NightLife ( 0.01 ),Residence ( 0 ),Residence ( 0.01 ),Traveling ( 0 ),Traveling ( 0 ),Eating ( 0 ),Eating ( 0 ),Eating ( 0 ),Eating ( NaN )
