zipcode,cluster,topkw
10463,0,Eating
10034,0,Eating
10033,0,Eating
10040,0,Eating
10032,3,Residence
10031,0,Eating
10039,3,Residence
10030,0,Eating
10027,0,Eating
10037,0,Eating
10024,0,Eating
10026,0,Eating
10035,0,Eating
10025,0,Eating
10029,0,Eating
00083,5,Recreation
10128,0,Eating
10023,0,Eating
10028,0,Eating
10021,0,Eating
10044,5,Recreation
10036,0,Eating
10018,0,Eating
10020,0,Eating
10017,0,Eating
10001,0,Eating
10011,0,Eating
10016,0,Eating
10010,0,Eating
10014,0,Eating
10003,0,Eating
10002,0,Eating
10009,0,Eating
10012,0,Eating
10013,0,Eating
10007,0,Eating
10038,0,Eating
10006,0,Eating
10005,0,Eating
10004,0,Eating
10280,5,Recreation
10048,8,Traveling
10279,7,Education
10165,4,Entertainment
10168,4,Entertainment
10055,4,Entertainment
10105,4,Entertainment
10118,0,Eating
10176,4,Entertainment
10162,4,Entertainment
10019,0,Eating
10111,3,Residence
10170,4,Entertainment
10112,4,Entertainment
10122,4,Entertainment
10107,4,Entertainment
10103,1,Shopping
10153,1,Shopping
10174,2,SocialServices
10166,6,Eating
10169,4,Entertainment
10167,4,Entertainment
10177,4,Entertainment
10172,4,Entertainment
10171,4,Entertainment
10154,4,Entertainment
10152,4,Entertainment
10270,4,Entertainment
10104,4,Entertainment
10271,4,Entertainment
10110,1,Shopping
10175,4,Entertainment
10151,4,Entertainment
10173,2,SocialServices
10178,6,Eating
10119,0,Eating
10121,0,Eating
10115,4,Entertainment
10123,4,Entertainment
10106,4,Entertainment
10158,4,Entertainment
10041,5,Recreation
10120,4,Entertainment
10278,4,Entertainment
10155,4,Entertainment
10022,0,Eating
10043,4,Entertainment
10081,4,Entertainment
10096,7,Education
10097,2,SocialServices
10196,2,SocialServices
10275,4,Entertainment
10265,8,Traveling
10045,4,Entertainment
10047,4,Entertainment
10080,4,Entertainment
10203,2,SocialServices
10259,4,Entertainment
10260,4,Entertainment
10285,4,Entertainment
10286,4,Entertainment
10065,0,Eating
10075,0,Eating
10069,5,Recreation
10281,0,Eating
10282,0,Eating
