zipcode,cluster,topkw
10463,2,Eating
10034,4,Recreation
10033,4,Recreation
10040,3,Traveling
10032,1,Education
10031,2,Eating
10039,1,Education
10030,0,SocialServices
10027,1,Education
10037,4,Recreation
10024,4,Recreation
10026,4,Recreation
10035,3,Traveling
10025,2,Eating
10029,2,Eating
00083,10,Recreation
10128,2,Eating
10023,1,Education
10028,2,Eating
10021,4,Recreation
10044,4,Recreation
10036,0,SocialServices
10018,0,SocialServices
10020,1,Education
10017,0,SocialServices
10001,0,SocialServices
10011,0,SocialServices
10016,0,SocialServices
10010,0,SocialServices
10014,2,Eating
10003,0,SocialServices
10002,2,Eating
10009,2,Eating
10012,0,SocialServices
10013,0,SocialServices
10007,0,SocialServices
10038,0,SocialServices
10006,0,SocialServices
10005,0,SocialServices
10004,1,Education
10280,10,Recreation
10048,3,Traveling
10279,7,Entertainment
10165,7,Entertainment
10168,7,Entertainment
10055,5,Eating
10105,11,SocialServices
10118,1,Education
10176,5,Eating
10162,7,Entertainment
10019,0,SocialServices
10111,10,Recreation
10170,8,SocialServices
10112,7,Entertainment
10122,7,Entertainment
10107,11,SocialServices
10103,6,Shopping
10153,0,SocialServices
10174,8,SocialServices
10166,5,Eating
10169,5,Eating
10167,5,Eating
10177,7,Entertainment
10172,8,SocialServices
10171,7,Entertainment
10154,11,SocialServices
10152,7,Entertainment
10270,7,Entertainment
10104,6,Shopping
10271,7,Entertainment
10110,6,Shopping
10175,11,SocialServices
10151,7,Entertainment
10173,7,Entertainment
10178,7,Entertainment
10119,1,Education
10121,0,SocialServices
10115,11,SocialServices
10123,11,SocialServices
10106,7,Entertainment
10158,7,Entertainment
10041,9,SocialServices
10120,7,Entertainment
10278,9,SocialServices
10155,7,Entertainment
10022,0,SocialServices
10043,7,Entertainment
10081,11,SocialServices
10096,5,Eating
10097,11,SocialServices
10196,11,SocialServices
10275,7,Entertainment
10265,7,Entertainment
10045,11,SocialServices
10047,7,Entertainment
10080,7,Entertainment
10203,11,SocialServices
10259,7,Entertainment
10260,2,Eating
10285,2,Eating
10286,7,Entertainment
10065,0,SocialServices
10075,0,SocialServices
10069,4,Recreation
10281,8,SocialServices
10282,2,Eating
