,Kmeans,Spectral,Hierarchical,0,1,2,3,4,5,6,7,8
1,,,3,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.166666666667,0.416666666667,0.25
2,,,0,0.0,0.0,0.0222222222222,0.2,0.2,0.133333333333,0.144444444444,0.144444444444,0.155555555556
3,,,1,0.0440251572327,0.0062893081761,0.0,0.710691823899,0.0062893081761,0.106918238994,0.0062893081761,0.0188679245283,0.100628930818
4,,,5,0.0,0.0,0.0142857142857,0.0142857142857,0.0,0.657142857143,0.0142857142857,0.2,0.1
5,,,0,0.0,0.0103092783505,0.0,0.0824742268041,0.0,0.360824742268,0.0721649484536,0.139175257732,0.335051546392
6,,,3,0.146341463415,0.0731707317073,0.0,0.0487804878049,0.162601626016,0.0975609756098,0.0162601626016,0.317073170732,0.138211382114
7,,,5,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.222222222222,0.111111111111
8,,,0,0.142857142857,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.142857142857,0.571428571429
9,,,0,0.0108695652174,0.163043478261,0.0,0.152173913043,0.0,0.0108695652174,0.184782608696,0.228260869565,0.25
10,,,1,0.111111111111,0.222222222222,0.0,0.444444444444,0.0,0.0,0.111111111111,0.0,0.111111111111
11,,,1,0.0526315789474,0.0394736842105,0.0131578947368,0.644736842105,0.0789473684211,0.0,0.0263157894737,0.0131578947368,0.131578947368
12,,,1,0.016393442623,0.0,0.016393442623,0.590163934426,0.0327868852459,0.245901639344,0.0655737704918,0.0327868852459,0.0
13,,,3,0.0675675675676,0.0,0.0135135135135,0.0945945945946,0.0945945945946,0.243243243243,0.0675675675676,0.283783783784,0.135135135135
14,,,0,0.0,0.030612244898,0.15306122449,0.204081632653,0.0102040816327,0.112244897959,0.19387755102,0.030612244898,0.265306122449
15,,,0,0.0125,0.2,0.025,0.2125,0.1125,0.075,0.1,0.125,0.1375
16,,,1,0.0588235294118,0.0,0.0,0.683823529412,0.0,0.0735294117647,0.0,0.161764705882,0.0220588235294
17,,,0,0.0224719101124,0.0112359550562,0.0,0.370786516854,0.0,0.0112359550562,0.0674157303371,0.213483146067,0.303370786517
18,,,1,0.0388888888889,0.233333333333,0.0,0.405555555556,0.0388888888889,0.0222222222222,0.0777777777778,0.0833333333333,0.1
19,,,0,0.0598290598291,0.017094017094,0.017094017094,0.230769230769,0.162393162393,0.00854700854701,0.179487179487,0.145299145299,0.179487179487
