,Kmeans,Spectral,Hierarchical,0,1,2,3,4,5,6,7,8
1,,,0,0.0,0.0,0.0,0.0277777777778,0.0,0.0555555555556,0.555555555556,0.138888888889,0.222222222222
2,,,0,0.0157894736842,0.0684210526316,0.0578947368421,0.131578947368,0.0789473684211,0.0526315789474,0.3,0.110526315789,0.184210526316
3,,,0,0.0322580645161,0.0460829493088,0.0184331797235,0.322580645161,0.00460829493088,0.110599078341,0.239631336406,0.119815668203,0.10599078341
4,,,0,0.0526315789474,0.0,0.0877192982456,0.19298245614,0.0175438596491,0.0877192982456,0.105263157895,0.245614035088,0.210526315789
5,,,5,0.00442477876106,0.0176991150442,0.00442477876106,0.163716814159,0.0575221238938,0.438053097345,0.12389380531,0.0353982300885,0.154867256637
6,,,0,0.0220588235294,0.0808823529412,0.0220588235294,0.268382352941,0.0514705882353,0.0477941176471,0.147058823529,0.235294117647,0.125
7,,,5,0.0,0.166666666667,0.0,0.203703703704,0.0,0.518518518519,0.0,0.0,0.111111111111
8,,,0,0.0217391304348,0.0217391304348,0.0,0.0434782608696,0.347826086957,0.0652173913043,0.239130434783,0.195652173913,0.0652173913043
9,,,4,0.0320699708455,0.294460641399,0.0174927113703,0.206997084548,0.069970845481,0.0233236151603,0.102040816327,0.0962099125364,0.157434402332
10,,,0,0.0740740740741,0.0,0.0,0.37037037037,0.111111111111,0.0,0.0740740740741,0.185185185185,0.185185185185
11,,,0,0.0573065902579,0.0114613180516,0.14899713467,0.111747851003,0.0573065902579,0.00573065902579,0.14899713467,0.0200573065903,0.438395415473
12,,,0,0.0,0.0,0.0388349514563,0.194174757282,0.0194174757282,0.174757281553,0.320388349515,0.0776699029126,0.174757281553
13,,,0,0.0294985250737,0.023598820059,0.0147492625369,0.100294985251,0.0648967551622,0.100294985251,0.188790560472,0.336283185841,0.141592920354
14,,,0,0.00568181818182,0.0227272727273,0.0795454545455,0.0852272727273,0.0482954545455,0.0227272727273,0.329545454545,0.0539772727273,0.352272727273
15,,,0,0.0363636363636,0.0636363636364,0.0409090909091,0.190909090909,0.122727272727,0.0818181818182,0.181818181818,0.0772727272727,0.204545454545
16,,,2,0.0659340659341,0.0247252747253,0.00549450549451,0.733516483516,0.00274725274725,0.0659340659341,0.0,0.0851648351648,0.0164835164835
17,,,0,0.0357142857143,0.0292207792208,0.103896103896,0.0357142857143,0.0844155844156,0.0974025974026,0.191558441558,0.0974025974026,0.324675324675
18,,,0,0.107173725151,0.108902333621,0.0354364736387,0.141745894555,0.0484010371651,0.0164217804667,0.263612791703,0.0345721694036,0.243733794296
19,,,0,0.0824427480916,0.0351145038168,0.0412213740458,0.134351145038,0.0152671755725,0.0717557251908,0.259541984733,0.0351145038168,0.325190839695
20,,,0,0.0811965811966,0.025641025641,0.123931623932,0.282051282051,0.0598290598291,0.0555555555556,0.0897435897436,0.0213675213675,0.260683760684
21,,,2,0.0,0.0,0.0,0.631578947368,0.0,0.0921052631579,0.0789473684211,0.0657894736842,0.131578947368
22,,,0,0.19858573954,0.0265173836181,0.100766057749,0.103123158515,0.063052445492,0.0135533294048,0.081319976429,0.183853859753,0.229228049499
23,,,0,0.062656641604,0.0513784461153,0.121553884712,0.185463659148,0.187969924812,0.00751879699248,0.125313283208,0.0563909774436,0.201754385965
24,,,0,0.00507614213198,0.0862944162437,0.0406091370558,0.319796954315,0.126903553299,0.0,0.126903553299,0.172588832487,0.121827411168
25,,,0,0.00335570469799,0.0335570469799,0.0486577181208,0.0939597315436,0.123322147651,0.00167785234899,0.139261744966,0.359060402685,0.197147651007
26,,,0,0.0764331210191,0.0530785562633,0.0806794055202,0.0833333333333,0.0652866242038,0.00371549893843,0.171974522293,0.302016985138,0.163481953291
27,,,0,0.0670073821692,0.0601930721181,0.0800681431005,0.164111300398,0.0982396365701,0.00795002839296,0.195911413969,0.06132879046,0.265190232822
