yday,s1,s2,s3,s4,s5,s6,v1,v2,v3,v4,v5,v6,wday
147,10003,10002,10019,10019,10003,10003,39,5,10,22,33,31,5
148,10003,10036,10019,10001,10003,10036,40,9,1,14,25,24,6
149,10003,10002,10032,10001,83,10011,29,12,3,13,26,17,0
150,10003,10003,10036,10001,83,10003,22,9,2,7,24,22,1
151,10003,10040,10019,10001,10001,10020,21,2,4,21,15,33,2
152,10020,10013,10040,10001,10003,10036,37,5,3,15,28,29,3
153,10003,10036,10001,10001,10011,10003,34,6,5,26,34,38,4
154,10003,10002,10001,10001,10001,10003,37,9,6,21,39,38,5
155,10003,10003,10025,10001,10012,10003,27,17,3,10,47,28,6
156,10003,10002,10028,10002,10003,10003,56,14,2,12,36,25,0
157,10009,10036,10019,10036,10011,10003,25,3,7,50,44,56,1
158,10019,10012,10017,10011,10011,10012,33,4,4,44,40,55,2
159,10011,10009,10019,10011,10003,10011,51,7,6,27,31,41,3
160,10011,10001,10017,10011,10011,10003,41,12,4,30,39,42,4
161,10003,10014,10014,10011,10013,10003,49,11,4,30,27,50,5
162,10002,10003,10036,10003,10010,10010,43,18,4,23,57,41,6
163,10003,10003,10001,10010,10010,10003,52,19,4,17,55,39,0
164,10020,10011,10036,10019,10011,10003,22,6,10,42,24,31,1
165,10003,10036,10036,10003,-1,10003,42,5,5,21,-1,47,2
166,10003,10011,10019,10036,10011,10019,36,9,5,25,32,37,3
167,10003,10003,10036,10019,10019,10003,48,7,9,43,38,40,4
168,10003,10003,10003,10019,10003,10003,31,12,5,22,41,36,5
169,10003,10003,10003,10001,10004,10003,53,19,5,17,36,36,6
170,10003,10003,10027,10019,10036,10011,38,13,3,11,20,18,0
171,10003,10019,10001,10013,10010,10003,23,6,4,23,16,29,1
172,10036,10009,10012,10019,10019,10003,26,8,5,17,25,62,2
173,10003,10003,10019,10019,10011,10003,40,8,4,26,35,45,3
174,10003,10003,10022,10012,10012,10012,36,9,36,42,30,38,4
175,10011,10003,10036,10001,10003,10003,31,11,7,17,33,39,5
176,10003,10014,10019,10019,10003,10003,59,18,4,23,48,35,6
177,10011,10019,10019,10018,10014,10014,35,20,5,16,80,45,0
178,10003,10005,10017,10011,10001,10001,22,10,4,25,33,35,1
179,10003,10011,10019,10001,10019,10011,37,7,8,27,32,44,2
180,10003,10003,10017,10019,10019,10001,41,8,4,26,44,60,3
181,10003,10018,10018,10019,10011,10003,43,8,10,21,32,44,4
182,10003,10014,10019,10003,10003,10003,46,13,9,29,32,38,5
183,10003,10009,10001,10001,10003,10003,39,21,7,18,37,30,6
184,10003,10003,10005,10003,10019,10014,46,18,4,11,19,31,0
185,10036,10013,10005,10025,10003,10003,29,8,6,9,21,23,1
186,10003,10003,10018,10011,10019,10012,19,3,5,23,33,50,2
187,10003,10036,10036,10036,10003,10003,38,13,5,60,115,77,3
188,10003,10040,10017,10019,10003,10001,56,7,3,20,50,59,4
189,10003,10002,10020,10017,10003,10003,74,12,9,26,36,40,5
190,10003,10003,10016,10003,10011,10003,46,26,3,12,47,45,6
191,10003,10003,10003,10025,10014,10003,53,19,3,9,32,36,0
192,10003,10018,10018,10001,10011,10003,27,4,5,24,31,33,1
193,10003,10025,10001,10001,10017,10019,42,7,8,27,25,38,2
194,10001,10021,10036,10017,10019,10003,38,7,6,25,41,50,3
195,10003,10002,10036,10017,10019,10003,40,8,6,23,44,43,4
196,10003,10003,10036,10001,10001,10003,51,15,8,35,34,58,5
197,10003,10003,10016,10001,10019,10012,55,30,4,17,41,33,6
198,10003,10003,10024,10001,10003,10003,51,27,9,15,41,44,0
199,10014,10036,10018,10001,10001,10003,20,6,5,25,34,47,1
200,10003,10003,10022,10036,10003,10036,33,8,5,21,40,55,2
201,10003,10003,10036,10017,10003,10003,64,9,7,33,47,60,3
202,10003,10003,10017,10001,10019,10003,38,11,5,29,33,49,4
203,10003,10002,10019,10036,10036,10019,55,14,5,25,54,42,5
204,10003,10002,10017,10019,10003,10003,56,22,4,17,43,53,6
205,10003,10003,10003,10036,10003,10003,87,30,4,16,48,32,0
206,10003,10003,10022,10036,10019,10003,37,5,4,23,46,40,1
207,10003,10027,10036,10001,10003,10003,33,15,7,26,39,50,2
208,10003,10003,10019,10019,10019,10019,28,12,7,31,59,53,3
209,10003,10019,10003,10019,10003,10003,61,17,6,25,32,54,4
210,10003,10009,10036,10001,10003,10003,65,14,4,19,47,52,5
211,10003,10003,10001,10003,10003,10036,69,32,7,17,32,48,6
212,10003,10003,10036,10003,10003,10003,40,20,3,12,50,36,0
213,10003,10018,10018,10036,10019,10003,26,6,8,34,43,45,1
214,10003,10033,10018,10036,10036,10012,46,7,13,28,37,77,2
215,10012,10002,10023,10001,10019,10003,34,9,4,35,37,53,3
216,10001,10036,10011,10019,10019,10003,75,8,7,28,39,40,4
217,10001,10014,10031,10019,10019,10019,60,13,5,45,50,56,5
218,10003,10003,10003,10019,10003,10019,57,35,5,49,49,42,6
219,10003,10002,10003,10019,10003,83,39,19,6,25,47,45,0
220,83,10002,10128,10001,10019,10003,22,7,3,29,34,51,1
221,10019,10019,10019,10003,10019,10036,38,17,15,34,36,35,2
222,10003,10009,10018,10001,10036,10036,37,14,14,32,46,44,3
223,10011,10024,10012,10001,10036,10003,45,8,8,26,40,60,4
224,10003,10003,10020,10003,10036,10036,51,17,6,24,42,56,5
225,10003,10003,10019,10001,10003,10003,75,33,8,18,40,67,6
226,10003,10003,10029,10019,10019,10019,66,37,4,17,48,46,0
227,10036,10019,10019,10019,10019,10019,27,11,10,42,51,45,1
228,10003,10019,10017,10019,10019,10003,34,11,5,38,54,49,2
229,10003,10014,10036,10019,10001,10003,56,11,6,29,52,51,3
230,10003,83,10013,10036,10003,10003,54,27,12,29,51,71,4
231,10003,10014,10036,10001,10003,10003,70,14,8,29,58,76,5
232,10003,10002,83,10010,10003,10003,68,22,20,21,43,58,6
233,10003,10003,10019,10019,10003,10016,81,32,4,15,38,65,0
234,10003,83,83,10001,10036,10003,25,11,8,21,33,58,1
235,10014,10036,10019,10001,10036,10003,37,9,7,34,34,56,2
236,10003,10002,10027,10019,10019,10003,42,14,8,20,42,56,3
237,10003,10003,10019,10036,10019,10003,68,20,7,40,54,50,4
238,10003,10025,10020,10003,10003,10003,50,18,7,30,48,64,5
239,10003,10012,10011,10019,10003,10003,77,24,7,19,52,69,6
240,10003,10009,10019,10019,10003,10003,60,25,7,17,48,45,0
241,10009,10025,10019,10003,10003,10036,28,7,9,31,36,47,1
242,10036,10003,10019,10017,10003,10003,29,11,6,30,38,61,2
243,10003,10003,10025,10010,10012,10003,42,18,15,23,44,90,3
244,10003,10027,83,10001,10019,10003,41,14,8,26,40,67,4
245,10003,10002,10011,10010,10003,10003,56,13,8,19,46,76,5
246,10011,10011,10036,10003,10003,10014,53,19,7,20,47,43,6
247,10003,10003,10025,10036,10004,10003,70,24,5,17,49,57,0
248,10003,10003,10020,10003,10011,10003,49,24,7,14,43,45,1
249,10003,10002,10036,10003,10003,10003,34,10,9,37,49,45,2
250,10003,10018,10019,10003,10003,10012,63,10,8,41,47,57,3
251,10003,10002,10023,10036,10001,10036,48,9,16,37,46,57,4
252,10003,10014,10023,10036,10011,10012,53,16,12,55,54,69,5
